| Name                                               | Location          |  State | Tuition and fees | Undergrad Enrollment | Rank |
| Florida Institute of Technology                    | Melbourne         |  FL    |           40 446 |                3 586 |  171 |
| University of Idaho                                | Moscow            |  ID    |           22 040 |                9 116 |  171 |
| University of Louisville                           | Louisville        |  KY    |           24 626 |               15 769 |  171 |
| University of Wyoming                              | Laramie           |  WY    |           16 215 |               10 045 |  171 |
| Ball State University                              | Muncie            |  IN    |           25 428 |               16 602 |  176 |
| Lipscomb University                                | Nashville         |  TN    |           29 756 |                3 030 |  176 |
| Mississippi State University                       | Mississippi State |  MS    |           20 142 |               17 421 |  176 |
| Montclair State University                         | Montclair         |  NJ    |           20 318 |               16 336 |  176 |
| Texas Tech University                              | Lubbock           |  TX    |           22 861 |               29 237 |  176 |
| University of Central Florida                      | Orlando           |  FL    |           22 467 |               54 513 |  176 |
| University of New Mexico                           | Albuquerque       |  NM    |           21 302 |               20 522 |  176 |
| Andrews University                                 | Berrien Springs   |  MI    |           27 684 |                1 733 |  183 |
| Azusa Pacific University                           | Azusa             |  CA    |           36 120 |                5 883 |  183 |
| University of Maine                                | Orono             |  ME    |           29 498 |                9 297 |  183 |
| West Virginia University                           | Morgantown        |  WV    |           21 432 |               22 498 |  183 |
| Widener University                                 | Chester           |  PA    |           42 870 |                3 554 |  183 |
| Kent State University                              | Kent              |  OH    |           18 376 |               23 607 |  188 |
| North Dakota State University                      | Fargo             |  ND    |           19 790 |               12 037 |  188 |
| Pace University                                    | New York          |  NY    |           42 772 |                8 747 |  188 |
| Robert Morris University                           | Moon Township     |  PA    |           28 250 |                4 497 |  188 |
| Suffolk University                                 | Boston            |  MA    |           35 578 |                5 565 |  188 |
| University of Hartford                             | West Hartford     |  CT    |           37 790 |                5 246 |  188 |
| Bowling Green State University                     | Bowling Green     |  OH    |           18 332 |               14 334 |  194 |
| University of Houston                              | Houston           |  TX    |           25 410 |               34 716 |  194 |
| Western Michigan University                        | Kalamazoo         |  MI    |           25 713 |               18 567 |  194 |
| Indiana University-Purdue University--Indianapolis | Indianapolis      |  IN    |           29 791 |               21 985 |  197 |
| Lesley University                                  | Cambridge         |  MA    |           25 750 |                1 520 |  197 |
| University of Alabama--Huntsville                  | Huntsville        |  AL    |           20 622 |                6 013 |  197 |
| University of Colorado--Denver                     | Denver            |  CO    |           29 334 |               14 036 |  197 |
| University of Nevada--Reno                         | Reno              |  NV    |           21 052 |               17 770 |  197 |
| California State University--Fullerton             | Fullerton         |  CA    |           17 596 |               33 144 |  202 |
| Central Michigan University                        | Mount Pleasant    |  MI    |           23 670 |               20 498 |  202 |
| Louisiana Tech University                          | Ruston            |  LA    |           25 851 |               10 682 |  202 |
| South Dakota State University                      | Brookings         |  SD    |           11 403 |               11 007 |  202 |
| University of Alaska--Fairbanks                    | Fairbanks         |  AK    |           22 469 |                7 610 |  202 |
| University of North Carolina--Charlotte            | Charlotte         |  NC    |           20 193 |               22 732 |  202 |
| University of North Dakota                         | Grand Forks       |  ND    |           18 899 |               11 577 |  202 |
| University of South Dakota                         | Vermillion        |  SD    |           11 688 |                7 435 |  202 |
| East Carolina University                           | Greenville        |  NC    |           22 904 |               23 039 |  210 |
| Montana State University                           | Bozeman           |  MT    |           23 042 |               13 707 |  210 |
| Old Dominion University                            | Norfolk           |  VA    |           27 028 |               20 101 |  210 |
| University of Missouri--Kansas City                | Kansas City       |  MO    |           22 714 |               11 253 |  210 |
| Ashland University                                 | Ashland           |  OH    |           20 392 |                3 716 |  214 |
| Dallas Baptist University                          | Dallas            |  TX    |           26 180 |                3 315 |  214 |
| Northern Illinois University                       | DeKalb            |  IL    |           23 799 |               15 027 |  214 |
| Nova Southeastern University                       | Ft. Lauderdale    |  FL    |           27 660 |                4 641 |  214 |
| Southern Illinois University--Carbondale           | Carbondale        |  IL    |           27 130 |               13 031 |  214 |
| University of Montana                              | Missoula          |  MT    |           24 562 |                8 732 |  214 |
| Benedictine University                             | Lisle             |  IL    |           32 170 |                3 347 |  220 |
| California State University--Fresno                | Fresno            |  CA    |           17 209 |               21 482 |  220 |
| Gardner-Webb University                            | Boiling Springs   |  NC    |           29 850 |                2 615 |  220 |
| New Mexico State University                        | Las Cruces        |  NM    |           21 234 |               12 526 |  220 |
| Shenandoah University                              | Winchester        |  VA    |           31 322 |                2 010 |  220 |
| Tennessee Technological University                 | Cookeville        |  TN    |           24 800 |                9 801 |  220 |
| University of Massachusetts--Boston                | Boston            |  MA    |           32 023 |               12 949 |  220 |
| University of Massachusetts--Dartmouth             | North Dartmouth   |  MA    |           19 270 |                7 295 |  220 |
| University of Missouri--St. Louis                  | St. Louis         |  MO    |           26 277 |               13 569 |  220 |
| University of North Carolina--Greensboro           | Greensboro        |  NC    |           21 595 |               15 951 |  220 |
| University of Southern Mississippi                 | Hattiesburg       |  MS    |           16 094 |               11 840 |  220 |
| Utah State University                              | Logan             |  UT    |           19 772 |               25 259 |  220 |
source: /home/luk/dd/zad_1
owner: luk
size: 2975 bytes
output lines: 233
column names: Name,Location, State,Tuition and fees,Undergrad Enrollment,Rank
